Country,Medicago,Sinovac,Pfizer,CanSino,SKYCovione,Covaxin,Moderna,Johnson,Novavax,Sanofi,Valneva,AstraZeneca,Sinopharm,Sputnik
Argentina,0,0,19724295,985243,0,0,17371749,0,0,0,0,26774900,28941172,20751112
Austria,0,0,16763486,0,0,0,1663838,368380,14893,140,2162,1593159,0,0
Belgium,0,0,21931050,0,0,0,4389147,428552,406,0,0,2849228,0,0
Bulgaria,0,0,3090202,0,0,0,511919,530219,0,0,0,478547,0,0
Canada,863,0,63482165,0,0,0,28804585,23591,28433,0,0,2815498,0,0
Chile,0,25943395,8067724,0,0,0,0,0,0,0,0,549673,0,0
Croatia,0,0,4045117,0,0,0,520646,204677,1373,0,0,568527,0,0
Cyprus,0,0,1309054,0,0,0,199684,31016,898,0,0,254531,0,0
Czechia,0,348,15662393,0,0,5,1641250,413735,11055,0,0,886784,77,0
Denmark,0,0,12188460,0,0,0,1781705,46005,0,0,0,155952,0,0
Ecuador,0,15812935,8552679,536882,0,0,0,0,0,0,0,5009163,0,0
Estonia,0,0,1632730,0,0,0,244530,79141,2160,0,0,238919,0,0
Finland,0,0,10286849,0,0,0,2068166,0,0,0,0,553905,0,0
France,0,0,121155541,0,0,0,24121747,1090803,38662,3645,0,7862962,0,0
Germany,0,0,138189814,0,0,0,31585369,3761229,159859,0,7072,12803049,0,0
Hong Kong,0,8832512,11848626,0,0,0,0,0,0,0,0,0,0,0
Hungary,0,0,9778198,0,0,0,1079204,345438,0,0,0,1252978,2315130,1807392
Iceland,0,0,76558,0,0,0,6493,85,0,0,0,1,0,0
Ireland,0,0,9603020,0,0,0,1668816,241601,850,0,0,1217678,0,0
Italy,0,0,95718713,0,0,0,34324511,1508434,42983,88,0,12169281,0,0
Japan,0,0,297815527,0,0,0,83268972,0,300250,0,0,117831,0,0
Latvia,0,9,1624384,0,0,0,715409,293843,438,0,0,262043,27,0
Liechtenstein,0,0,22479,0,0,0,48599,264,3,0,0,0,0,0
Lithuania,0,0,3363133,0,0,0,329533,295897,0,0,0,536498,0,0
Luxembourg,0,0,745265,0,0,0,342155,41522,496,0,0,105059,0,0
Malta,0,0,747037,0,0,0,278881,32421,0,0,0,227870,0,0
Nepal,0,0,1797582,0,0,0,7336243,3693423,0,0,0,14088349,19972478,0
Netherlands,0,0,22697220,0,0,0,8448384,755296,2707,0,0,2473242,0,0
Norway,0,0,9766924,0,0,0,2386984,7394,0,0,0,148123,0,0
Peru,0,0,51520283,0,0,0,6301449,0,0,0,0,8186523,21266405,0
Poland,0,0,41943054,0,0,0,3843870,2728519,15746,0,0,5292339,0,0
Portugal,0,8423,18931529,0,0,121,3928446,1138788,201,32,0,2276083,4568,0
Romania,0,0,12914439,0,0,0,1008835,2054653,0,0,0,849559,0,0
Slovakia,0,0,5192885,0,0,0,681446,186396,3743,0,0,844168,0,37984
Slovenia,0,0,2325179,0,0,0,237646,135725,218,0,0,322679,0,0
South Africa,0,0,28684331,0,0,0,0,9366280,0,0,0,0,0,0
South Korea,0,0,52280181,0,536,0,13434676,1516295,258451,0,0,20084922,0,0
Spain,0,0,76234263,0,0,0,24358501,1981623,0,0,0,9795038,0,0
Sweden,0,0,17262652,0,0,0,4174751,0,7111,0,0,1322063,0,0
Switzerland,0,0,6210231,0,0,0,10633270,63454,3427,0,0,0,0,0
Ukraine,0,9802231,14774013,0,0,0,3044899,20680,0,0,0,4041487,0,0
United States,0,0,400059167,0,0,0,251049942,18976061,78683,0,0,0,0,0
Uruguay,0,3248201,2565508,0,0,0,0,0,0,0,0,91200,0,0
