Country,CanSino,Moderna,Oxford/AstraZeneca,Pfizer/BioNTech,Sinopharm/Beijing,Sputnik V,Johnson&Johnson,Novavax,Valneva,Medicago,Sinovac,Covaxin,Sanofi/GSK
Argentina,20003480.0,,,,264006097.0,,428412557.0,400651222.0,,605972331.0,,434441898.0,
Austria,,,1104511.0,,4891640.0,38940.0,3186129.0,46224572.0,,,,,25.0
Belgium,,,1284866.0,,12893849.0,1052.0,2849221.0,54577552.0,,,,,
Bulgaria,,,1577319.0,,1519012.0,,,8997660.0,,,,,
Canada,,,22748.0,863.0,24803177.0,21948.0,2813475.0,59570614.0,,,,,
Chile,,,,,,,,169265634.0,,,544614643.0,,
Croatia,,,612101.0,,1540789.0,4041.0,568518.0,11902729.0,,,,,
Cyprus,,,92789.0,,,2418.0,,3776282.0,,,,,
Czechia,,,7018001.0,,33967423.0,176095.0,1773555.0,313366785.0,,,346.0,,
Denmark,,,137791.0,,5146208.0,,311875.0,30948759.0,,,,,
Estonia,,,236105.0,,477576.0,4681.0,238919.0,4651079.0,,,,,
European_Union,,2583.0,391896307.0,,3203695006.0,5620997.0,1411001607.0,13243219458.0,0.0,48662572.0,183856.0,38752896.0,125.0
Finland,,,,,6091183.0,,553903.0,30137367.0,,,,,
France,,,21807802.0,,502198283.0,645381.0,,2443305782.0,,,,,
Germany,,,78769667.0,,660799113.0,2938964.0,153630651.0,2864982805.0,,,,,
Hong_Kong,,,,,,,,223978211.0,,,162794652.0,,
Hungary,,,1030064.0,,3233329.0,,,28986475.0,,6938061.0,,,
Ireland,,,483153.0,,4646873.0,1385.0,3652934.0,25730423.0,,,,,
Italy,,,3016261.0,,616158692.0,727896.0,,1936828292.0,,,,,
Japan,,,,,1554455107.0,3207167.0,1059113.0,4985101779.0,,,,,
Liechtenstein,,,,,139667.0,,,43298.0,,,,,
Lithuania,,,887132.0,,987633.0,,,9965085.0,,,,,
Luxembourg,,,41509.0,,1010606.0,1390.0,,2153830.0,,,,,
Malta,,,32400.0,,835928.0,,455709.0,2198444.0,,,,,
Netherlands,,,2265384.0,,25293927.0,7799.0,,68045924.0,,,,,
Norway,,,7375.0,,6962716.0,,444250.0,27460880.0,,,,,
Peru,,,,,88821645.0,,79757386.0,1033702956.0,,443883555.0,,,
Poland,,,8153568.0,,11063327.0,39870.0,15876858.0,121071328.0,,,,,
Portugal,,,3415988.0,,11075666.0,197.0,6827770.0,48083008.0,,9078.0,16801.0,,
Slovakia,,,558532.0,,2034208.0,10572.0,,15390793.0,,,,,
Slovenia,,,271435.0,,707514.0,549.0,,6742123.0,,,,,
South_Africa,,,192549351.0,,,,,592215646.0,,,,,
South_Korea,,,22726429.0,,241808115.0,4816424.0,,1096769049.0,,,,,
Spain,,,1981617.0,,72374696.0,,,201113075.0,,,,,
Sweden,,,,,12199920.0,19288.0,,48196079.0,,,,,
Switzerland,,,1120993.0,,208034226.0,4140.0,,119393779.0,,,,,
United_States,,,56568304.0,,686353816.0,36315.0,,1077820079.0,,,,,
Uruguay,,,,,,,91196.0,45961990.0,,,3248196.0,,
