Country,Total_Cases,Total_Deaths,Total_Vaccinations
Afghanistan,209181,7896,13603457
Albania,334336,3598,0
Algeria,271431,6881,0
Andorra,47866,165,0
Angola,105205,1931,24174309
Anguilla,3904,12,24489
Antigua and Barbuda,9106,146,0
Argentina,10043308,130458,114548471
Armenia,446819,8721,0
Aruba,44026,282,174375
Australia,11347698,19265,0
Austria,5878713,21848,0
Azerbaijan,828426,10108,0
Bahamas,37491,833,0
Bahrain,705444,1548,0
Bangladesh,2037773,29445,354659926
Barbados,106645,575,381633
Belarus,994037,7118,0
Belgium,4708273,33663,29620722
Belize,70740,688,502178
Benin,27990,163,0
Bermuda,18799,160,0
Bhutan,62615,21,0
Bolivia,1192283,22362,0
Bosnia and Herzegovina,401575,16278,0
Botswana,329662,2801,3171667
Brazil,36997328,698382,484988616
British Virgin Islands,7305,64,0
Brunei,277992,225,0
Bulgaria,1296450,38208,4608477
Burkina Faso,22056,396,5856003
Burundi,53609,38,34493
Cambodia,138713,3056,46003730
Cameroon,124328,1965,4272224
Canada,4595042,51253,0
Cape Verde,63240,413,0
Cayman Islands,31472,37,0
Central African Republic,15368,113,0
Chad,7675,194,6368186
Chile,5154016,64109,0
China,2023904,87468,3491077000
Colombia,6356468,142296,0
Comoros,8998,161,0
Congo,25077,388,0
Cook Islands,7020,2,40854
Costa Rica,1199055,9214,0
Cote d'Ivoire,88138,834,25263932
Croatia,1268666,17950,5360084
Cuba,1112561,8530,43614510
Curacao,45986,301,0
Cyprus,647031,1297,0
Czechia,4604427,42397,18615864
Democratic Republic of Congo,95646,1464,12474117
Denmark,3402710,8239,13145167
Djibouti,15690,189,385621
Dominica,15760,74,0
Dominican Republic,660533,4384,16229237
Ecuador,1056578,36008,39485025
Egypt,515698,24809,104508139
El Salvador,201785,4230,0
England,0,0,144754288
Equatorial Guinea,17229,183,0
Eritrea,10189,103,0
Estonia,614852,2934,2109343
Eswatini,74199,1423,830376
Ethiopia,499903,7572,0
Falkland Islands,1930,0,0
Fiji,68876,883,1552809
Finland,1461583,8859,13196843
France,39640649,164898,154284734
French Polynesia,77957,649,0
Gabon,48981,306,0
Gambia,12586,372,0
Georgia,1825598,16965,0
Germany,38068912,167604,192085880
Ghana,171167,1462,0
Gibraltar,20420,111,0
Greece,5548487,34779,22107768
Greenland,11971,21,0
Grenada,19680,238,0
Guatemala,1234843,20160,20187207
Guinea,38267,467,9857575
Guinea-Bissau,8953,176,0
Guyana,73062,1298,960133
Haiti,34143,860,0
Honduras,471557,11109,17101012
Hong Kong,2876106,13447,20681138
Hungary,2194969,48745,0
Iceland,208999,211,0
India,44686676,530763,2206327329
Indonesia,6734818,160894,0
International,721,15,0
Iran,7567421,144824,157785811
Iraq,2465545,25375,0
Ireland,1703244,8655,11110555
Isle of Man,38008,116,0
Israel,4795878,12256,18641701
Italy,25547414,187850,143751231
Jamaica,154065,3500,0
Japan,33158158,71931,381581415
Jordan,1746997,14122,0
Kazakhstan,1497449,19068,0
Kenya,342900,5688,23359310
Kiribati,5013,18,219980
Kosovo,272905,3207,1837446
Kuwait,663456,2570,8258614
Kyrgyzstan,206633,2991,3425209
Laos,218014,758,0
Latvia,975884,6258,0
Lebanon,1231303,10821,0
Lesotho,34790,723,1319497
Liberia,8065,294,0
Libya,507171,6437,0
Liechtenstein,21387,89,74288
Lithuania,1303028,9578,4544224
Luxembourg,315945,1215,1374048
Macao,3513,121,1797075
Madagascar,67852,1421,2652348
Malawi,88681,2686,7159342
Malaysia,5041587,36957,72569915
Maldives,185729,311,951511
Mali,32963,743,4792566
Malta,117338,827,1380226
Marshall Islands,15598,17,0
Mauritania,63667,997,4066473
Mauritius,295440,1044,2614136
Mexico,7435066,332885,0
Micronesia (country),23671,60,0
Moldova,603750,11974,0
Monaco,16108,67,0
Mongolia,1007896,2136,0
Montenegro,287772,2800,0
Montserrat,1403,8,0
Morocco,1272411,16296,55380717
Mozambique,233098,2242,0
Myanmar,633903,19490,0
Namibia,171121,4090,981339
Nauru,5247,1,32157
Nepal,1001137,12020,60976433
Netherlands,8602598,23081,0
New Caledonia,80007,314,479745
New Zealand,2208558,2534,0
Nicaragua,15627,245,12241350
Niger,9508,315,0
Nigeria,266463,3155,0
North Korea,1,6,0
North Macedonia,346733,9653,0
Northern Ireland,0,0,4483438
Norway,1478767,5175,0
Oman,399449,4628,0
Pakistan,1576736,30641,0
Palau,5988,9,0
Palestine,703228,5708,0
Panama,1030658,8600,8756680
Papua New Guinea,46792,670,717736
Paraguay,807453,19849,9568675
Peru,4484769,219378,87754399
Philippines,4075757,66051,170366733
Poland,6406799,118840,57903994
Portugal,5566708,26117,28106464
Qatar,493639,686,7606840
Romania,3335131,67675,0
Russia,21892777,387932,185641260
Rwanda,133170,1468,0
Saint Helena,2166,0,0
Saint Kitts and Nevis,6596,46,0
Saint Lucia,29882,409,0
Saint Pierre and Miquelon,3452,2,0
Saint Vincent and the Grenadines,9589,123,73374
Samoa,16607,29,452831
San Marino,23536,122,0
Sao Tome and Principe,6281,77,0
Saudi Arabia,829095,9607,0
Senegal,88917,1971,2928086
Serbia,2487935,17788,0
Seychelles,50665,172,0
Sierra Leone,7760,126,6820857
Singapore,2222006,1722,0
Sint Maarten (Dutch part),0,0,67068
Slovakia,2664186,21008,0
Slovenia,1326369,7068,0
Solomon Islands,24575,153,0
Somalia,27324,1361,0
South Africa,4061085,102595,0
South Korea,30469702,33909,0
South Sudan,18368,138,3062073
Spain,13755956,119186,105459628
Sri Lanka,672024,16829,0
Sudan,63787,5011,0
Suriname,82227,1400,0
Sweden,2697159,23634,25655479
Switzerland,4411059,14203,16926060
Syria,57463,3164,0
Taiwan,9970937,17672,66971090
Tajikistan,17786,125,0
Tanzania,42823,846,38911619
Thailand,4727831,33902,0
Timor,23418,138,2011703
Togo,39367,290,0
Tonga,16801,13,202720
Trinidad and Tobago,188737,4339,0
Tunisia,1150793,29330,13243761
Turkey,17042722,101492,0
Turks and Caicos Islands,6551,38,0
Tuvalu,2805,0,0
Uganda,170478,3630,0
Ukraine,5693260,119144,0
United Arab Emirates,1051336,2349,0
United Kingdom,24341615,218405,0
United States,103305370,1118719,670987625
Uruguay,1034046,7617,8936983
Uzbekistan,250932,1637,0
Vanuatu,12014,14,366638
Vatican,29,0,0
Venezuela,551940,5852,0
Vietnam,11526858,43186,266211063
Wallis and Futuna,3427,7,0
Yemen,11945,2159,0
Zambia,342831,4055,0
Zimbabwe,263921,5663,0
=======,0,0,0
Country,total_cases,total_vaccinations,0
Afghanistan,209181,13603457,0
Africa,12515151,769812781,0
Albania,334336,0,0
Algeria,271431,0,0
Andorra,47866,0,0
Angola,105205,24174309,0
Anguilla,3904,24489,0
Antigua and Barbuda,9106,0,0
Argentina,10043308,114548471,0
Armenia,446819,0,0
Aruba,44026,174375,0
Asia,210401549,8985323611,0
Australia,11347698,0,0
Austria,5878713,0,0
Azerbaijan,828426,0,0
Bahamas,37491,0,0
Bahrain,705444,0,0
Bangladesh,2037773,354659926,0
Barbados,106645,381633,0
Belarus,994037,0,0
Belgium,4708273,29620722,0
Belize,70740,502178,0
Benin,27990,0,0
Bermuda,18799,0,0
Bhutan,62615,0,0
Bolivia,1192283,0,0
Bonaire Sint Eustatius and Saba,11797,0,0
